Energy(eV)+1j*SigmaT (microns) 	Weights
(8215658969.393618+10j)	(6.987598599258201+0j)
(8082534296.484358+10j)	(6.987598599258201+0j)
(8179637624.555889+10j)	(6.987598599258201+0j)
(8270710056.035007+10j)	(6.987598599258201+0j)
(8362281262.770746+15j)	(5.952765878376933+0j)
(8271872884.389753+15j)	(5.952765878376933+0j)
(8291173320.738878+15j)	(5.952765878376933+0j)
(8314783473.565913+15j)	(5.952765878376933+0j)
(8354976768.917456+15j)	(5.952765878376933+0j)
(8303242437.943922+15j)	(5.875898912437598+0j)
(8271833074.5141115+15j)	(5.875898912437598+0j)
(8331325859.258253+15j)	(5.875898912437598+0j)
(8361449227.01606+15j)	(5.875898912437598+0j)
(8366155491.135176+15j)	(5.875898912437598+0j)
(8246225916.616497+15j)	(5.875898912437598+0j)
(8299206226.906553+15j)	(5.875898912437598+0j)
(8289136575.156883+15j)	(5.875898912437598+0j)
(8202375898.876318+15j)	(5.875898912437598+0j)
(8325192293.626312+15j)	(5.875898912437598+0j)
(8357581794.226658+15j)	(5.875898912437598+0j)
(8301522562.130018+15j)	(5.875898912437598+0j)
(8236721339.96032+15j)	(5.954020117112292+0j)
(8253514421.633558+15j)	(5.954020117112292+0j)
(8261055854.490404+15j)	(5.954020117112292+0j)
(8291726491.8758545+15j)	(5.954020117112292+0j)
(8375299924.607142+15j)	(5.954020117112292+0j)
(8190577447.707161+15j)	(5.954020117112292+0j)
(8317496804.296221+15j)	(5.954020117112292+0j)
(8147025372.812134+15j)	(5.954020117112292+0j)
(8364720737.172374+15j)	(5.954020117112292+0j)
(8321030965.294283+15j)	(5.954020117112292+0j)
(8318761345.42507+15j)	(5.8660861482331885+0j)
(8344014433.42955+15j)	(5.8660861482331885+0j)
(8353958176.485215+15j)	(5.8660861482331885+0j)
(8333014614.633852+15j)	(5.8660861482331885+0j)
(8332090749.750909+15j)	(5.8660861482331885+0j)
(8331146871.675924+15j)	(6.220285055304406+0j)
(8290395604.651106+15j)	(6.220285055304406+0j)
(8333513709.708348+15j)	(6.220285055304406+0j)
(8351527344.079175+15j)	(6.220285055304406+0j)
(8366852997.716087+15j)	(6.220285055304406+0j)
(8306713269.903929+15j)	(6.220285055304406+0j)
(8304049400.595404+15j)	(6.220285055304406+0j)
(8289861449.128509+15j)	(6.220285055304406+0j)
(8252972151.734257+15j)	(6.220285055304406+0j)
(8303968400.466799+15j)	(6.220285055304406+0j)
(8104672409.168621+15j)	(6.220285055304406+0j)
(8300974887.338356+15j)	(6.220285055304406+0j)
(8189692595.889843+15j)	(6.055185758788083+0j)
(8312051563.789343+15j)	(6.055185758788083+0j)
(8140760210.976198+15j)	(6.055185758788083+0j)
(8362419946.645161+15j)	(6.055185758788083+0j)
(8273511006.782196+15j)	(6.055185758788083+0j)
(8316058508.1859455+15j)	(6.055185758788083+0j)
(8337047316.359809+15j)	(6.055185758788083+0j)
(8258770207.59372+15j)	(6.055185758788083+0j)
(8308308122.779833+15j)	(6.055185758788083+0j)
(8198509893.160145+15j)	(6.055185758788083+0j)
(8319958466.590984+15j)	(6.055185758788083+0j)
(8235754193.680123+15j)	(6.055185758788083+0j)
(8364479429.942886+15j)	(6.225213167345597+0j)
(8243471415.375793+15j)	(6.225213167345597+0j)
(8318665507.2715225+15j)	(6.225213167345597+0j)
(8252653484.295521+15j)	(6.225213167345597+0j)
(8273339007.471575+15j)	(6.225213167345597+0j)
(8347736997.618853+15j)	(6.225213167345597+0j)
(8308384611.706295+15j)	(6.225213167345597+0j)
(8386027175.995161+15j)	(6.225213167345597+0j)
(8328609034.066257+15j)	(5.792624085726279+0j)
(8392190721.956484+15j)	(5.792624085726279+0j)
(8220320174.907909+15j)	(5.792624085726279+0j)
(8405600540.510811+15j)	(5.792624085726279+0j)
(8125315091.707865+15j)	(5.792624085726279+0j)
(8289993929.553727+15j)	(5.792624085726279+0j)
(8193300151.633833+15j)	(5.792624085726279+0j)
(8176951297.518344+15j)	(5.792624085726279+0j)
(8299246601.423542+15j)	(5.792624085726279+0j)
(8373961931.431492+15j)	(6.0076750204508444+0j)
(8332147930.282003+15j)	(6.0076750204508444+0j)
(8317439167.685196+15j)	(6.0076750204508444+0j)
(8346518335.461547+15j)	(6.0076750204508444+0j)
(8346995690.612108+15j)	(6.0076750204508444+0j)
(8327397075.309232+15j)	(6.0076750204508444+0j)
(8326999967.9618+15j)	(6.0076750204508444+0j)
(8385592342.697686+15j)	(6.0076750204508444+0j)
(8208028824.20939+15j)	(6.0076750204508444+0j)
(8292060633.06219+15j)	(6.0076750204508444+0j)
(8336202549.728058+15j)	(6.0076750204508444+0j)
(8240520295.933398+15j)	(6.0076750204508444+0j)
(8206184555.340128+15j)	(6.0076750204508444+0j)
(8334288942.214607+15j)	(6.0076750204508444+0j)
(8332226890.515068+15j)	(6.0076750204508444+0j)
(8293074973.208311+15j)	(6.0076750204508444+0j)
(8348180343.094017+15j)	(6.0076750204508444+0j)
(8357305286.401642+15j)	(6.0076750204508444+0j)
(8322568610.304717+15j)	(5.950224035995496+0j)
(8337274227.26792+15j)	(5.950224035995496+0j)
(8255032155.589264+15j)	(5.950224035995496+0j)
(8408170383.798315+15j)	(5.950224035995496+0j)
(8270825945.156198+15j)	(5.950224035995496+0j)
(8280092899.3611+15j)	(5.950224035995496+0j)
(8189312860.8793125+15j)	(5.950224035995496+0j)
(8248383336.935915+15j)	(5.950224035995496+0j)
(8328067523.62707+15j)	(5.950224035995496+0j)
(8372296709.523224+20j)	(5.759956854530799+0j)
(8332532937.940169+20j)	(5.759956854530799+0j)
(8369736658.347631+20j)	(5.759956854530799+0j)
(8383983674.169722+20j)	(5.759956854530799+0j)
(8368832675.27067+20j)	(5.759956854530799+0j)
(8350040953.576785+20j)	(5.759956854530799+0j)
(8330118499.380625+20j)	(5.759956854530799+0j)
(8252730667.814164+20j)	(5.581753363005579+0j)
(8312283107.34263+20j)	(5.581753363005579+0j)
(8325860096.597265+20j)	(5.581753363005579+0j)
(8314477957.695401+20j)	(5.581753363005579+0j)
(8331491617.898401+20j)	(5.852457440980815+0j)
(8363542754.008222+20j)	(5.852457440980815+0j)
(8349520534.388224+20j)	(5.852457440980815+0j)
(8352739829.096158+20j)	(5.852457440980815+0j)
(8338379764.241411+20j)	(5.852457440980815+0j)
(8391693050.144732+20j)	(5.852457440980815+0j)
(8292376394.224588+20j)	(5.852457440980815+0j)
(8086186394.002003+20j)	(5.852457440980815+0j)
(8358591172.378687+20j)	(5.382144394804314+0j)
(8370938515.425066+20j)	(5.382144394804314+0j)
(8285333631.847088+20j)	(5.632951007178738+0j)
(8357787051.266163+20j)	(5.632951007178738+0j)
(8307167894.41844+20j)	(5.632951007178738+0j)
(8378391228.694187+20j)	(5.632951007178738+0j)
(8305384197.190788+20j)	(5.632951007178738+0j)
(8342827592.987169+20j)	(5.632951007178738+0j)
(8378687077.127314+20j)	(5.632951007178738+0j)
(8320508643.873009+20j)	(5.632951007178738+0j)
(8353965621.136068+20j)	(6.024184021074764+0j)
(8337797867.330627+20j)	(6.024184021074764+0j)
(8333782612.854567+20j)	(6.024184021074764+0j)
(8273470100.095488+20j)	(6.024184021074764+0j)
(8332689336.69858+20j)	(6.024184021074764+0j)
(8323658725.570001+20j)	(6.024184021074764+0j)
(8329520876.999741+20j)	(6.024184021074764+0j)
(8314497733.338997+20j)	(5.214919468256401+0j)
(8367228971.801316+20j)	(5.214919468256401+0j)
(8116648378.047799+20j)	(5.214919468256401+0j)
(8283467219.784835+20j)	(5.214919468256401+0j)
(8320638746.149222+20j)	(5.762831365209519+0j)
(8226754962.840593+20j)	(5.762831365209519+0j)
(8356745381.5374+20j)	(5.762831365209519+0j)
(8280158491.527587+20j)	(5.762831365209519+0j)
(8294934963.712636+20j)	(5.762831365209519+0j)
(8168819914.941988+20j)	(5.762831365209519+0j)
(8247699251.703281+20j)	(5.762831365209519+0j)
(8303368911.050109+20j)	(5.762831365209519+0j)
(8247008386.953966+20j)	(5.762831365209519+0j)
(8383740244.103691+20j)	(5.762831365209519+0j)
(8123044484.152642+20j)	(5.275210536376057+0j)
(8376264533.731293+20j)	(5.275210536376057+0j)
(8218493254.535065+20j)	(5.795837301346453+0j)
(8316142248.664465+20j)	(5.795837301346453+0j)
(8244580105.168823+20j)	(5.795837301346453+0j)
(8310779987.373846+20j)	(5.795837301346453+0j)
(8297388621.1838665+20j)	(5.795837301346453+0j)
(8336804208.438577+25j)	(5.084246547215144+0j)
(8368958504.53866+25j)	(5.084246547215144+0j)
(8350984095.440037+25j)	(5.084246547215144+0j)
(8337109620.592758+25j)	(5.084246547215144+0j)
(8358750848.272605+25j)	(5.084246547215144+0j)
(8360454014.591505+25j)	(5.084246547215144+0j)
(8379727667.668981+25j)	(5.084246547215144+0j)
(8344806159.369221+25j)	(5.084246547215144+0j)
(8349840943.413081+25j)	(5.603842747705797+0j)
(8375819563.290582+25j)	(5.603842747705797+0j)
(8338962841.735275+25j)	(5.603842747705797+0j)
(8371544236.511431+25j)	(5.509852886534733+0j)
(8284730145.126759+25j)	(5.509852886534733+0j)
(8340237486.951739+25j)	(5.509852886534733+0j)
(8335542995.848382+25j)	(5.509852886534733+0j)
(8356670274.292286+25j)	(5.509852886534733+0j)
(8316133913.098559+25j)	(5.509852886534733+0j)
(8353653515.642729+25j)	(5.509852886534733+0j)
(8301756899.279095+25j)	(5.509852886534733+0j)
(8192794043.617964+25j)	(5.195045568383517+0j)
(8363853563.245779+25j)	(5.195045568383517+0j)
(8353495896.759386+25j)	(5.195045568383517+0j)
(8360332784.374466+25j)	(5.195045568383517+0j)
(8380864647.1935215+25j)	(5.195045568383517+0j)
(8398778184.655489+25j)	(5.195045568383517+0j)
(8311409589.997768+25j)	(5.1408333893703775+0j)
(8358389317.05879+25j)	(5.1408333893703775+0j)
(8335245118.443651+25j)	(5.1408333893703775+0j)
(8311022244.759552+25j)	(5.1408333893703775+0j)
(8368022582.041227+25j)	(5.1408333893703775+0j)
(8365475258.015845+25j)	(5.1408333893703775+0j)
(8305727035.809364+25j)	(5.1408333893703775+0j)
(8355304161.405813+25j)	(5.1408333893703775+0j)
(8237774891.126136+25j)	(5.1408333893703775+0j)
(8315456413.205507+25j)	(5.1408333893703775+0j)
(8364466359.205727+25j)	(5.1408333893703775+0j)
(8145652345.626734+25j)	(5.177835480360679+0j)
(8368463124.083967+25j)	(5.177835480360679+0j)
(8328793045.087755+25j)	(5.177835480360679+0j)
(8350703334.721585+25j)	(5.177835480360679+0j)
(8347488106.059064+25j)	(5.827112729205229+0j)
(8397256543.548609+25j)	(5.827112729205229+0j)
(8333489316.274109+25j)	(5.827112729205229+0j)
(8346019593.351326+25j)	(5.459682601211909+0j)
(8270629138.835303+25j)	(5.459682601211909+0j)
(8340494628.6192665+25j)	(5.459682601211909+0j)
(8371361759.124446+25j)	(5.459682601211909+0j)
(8369959887.722334+25j)	(5.459682601211909+0j)
(8369980138.649614+25j)	(5.459682601211909+0j)
(8354840641.054304+25j)	(5.06563049101447+0j)
